n,time
10500,2004.6598275502522
11200,2140.263835589091
11900,2320.338280995687
12600,2515.69402217865
13300,2572.882111867269
14000,2595.1359272003174
1400,211.91746393839517
14700,2749.738311767578
15400,2875.2816200256348
16100,3027.102200190226
16800,3157.393232981364
17500,3339.9839878082275
18200,3473.1436570485434
18900,3592.3820972442627
19600,3741.690731048584
20300,3829.1744152704873
21000,4099.220085144043
2100,331.9432497024536
21700,4162.095125516255
22400,4312.439290682475
2800,444.3398396174113
3500,585.414449373881
4200,703.0353705088297
4900,820.7465728123983
5600,959.7262700398763
6300,1102.7495702107747
7000,1220.706566174825
700,96.50514920552571
7700,1354.240870475769
8400,1475.9053627649944
9100,1606.5247217814128
9800,1778.2800277074177
